年,月,日,時分,気温,地中温度,土壌水分,照度,EC
2025,01,22,06:33,-4.0,5.5,18.0,7,0.36
2025,01,22,06:43,-4.0,5.5,17.9,31,0.36
2025,01,22,06:53,-4.0,5.5,17.8,135,0.37
2025,01,22,07:03,-4.0,5.5,17.9,460,0.37
2025,01,22,07:13,-3.9,5.5,18.1,1069,0.36
2025,01,22,07:23,-3.6,5.4,18.0,1968,0.36
2025,01,22,07:32,-3.3,5.4,18.0,2786,0.37
2025,01,22,07:42,-3.0,5.4,17.9,3322,0.36
2025,01,22,07:52,-3.0,5.3,18.0,4036,0.36
2025,01,22,08:02,-3.0,5.3,17.9,4678,0.36
2025,01,22,08:12,-2.8,5.3,18.0,5363,0.36
2025,01,22,08:22,-2.8,5.3,18.0,5988,0.36
2025,01,22,08:32,-2.6,5.3,18.0,6734,0.37
2025,01,22,08:42,-1.5,5.3,17.9,9185,0.37
2025,01,22,08:52,-0.9,5.3,18.0,13109,0.36
2025,01,22,09:02,-0.1,5.3,18.0,20742,0.36
2025,01,22,09:12,0.7,5.2,18.0,13889,0.36
2025,01,22,09:22,1.5,5.2,18.0,22323,0.36
2025,01,22,09:32,2.3,5.2,18.0,17961,0.36
2025,01,22,09:42,3.2,5.2,18.0,44847,0.36
2025,01,22,09:52,4.3,5.2,18.0,52231,0.36
2025,01,22,10:02,5.3,5.2,18.0,51583,0.36
2025,01,22,10:12,5.9,5.2,18.2,51594,0.36
2025,01,22,10:22,6.8,5.3,18.2,71200,0.35
2025,01,22,10:32,7.6,5.3,18.2,35451,0.36
2025,01,22,10:42,9.5,5.3,18.2,37268,0.36
2025,01,22,10:52,10.4,5.4,18.2,34010,0.34
2025,01,22,11:02,10.1,5.5,18.2,25676,0.35
2025,01,22,11:12,11.2,5.5,18.2,53250,0.35
2025,01,22,11:22,9.8,5.6,18.2,28218,0.35
2025,01,22,11:32,9.7,5.6,18.1,83270,0.36
2025,01,22,11:42,9.6,5.8,18.1,34837,0.35
2025,01,22,11:52,9.7,5.9,18.2,27724,0.34
2025,01,22,12:03,9.5,6.0,18.2,34846,0.34
2025,01,22,12:12,10.0,6.1,18.1,31198,0.35
2025,01,22,12:22,9.8,6.1,18.1,36809,0.35
2025,01,22,12:32,10.2,6.3,18.0,39675,0.35
2025,01,22,12:42,10.2,6.3,18.1,21245,0.34
2025,01,22,12:52,9.8,6.4,18.0,52580,0.35
2025,01,22,13:02,9.2,6.5,18.1,22016,0.34
2025,01,22,13:12,9.6,6.6,18.1,25678,0.34
2025,01,22,13:22,9.6,6.6,18.1,20100,0.34
2025,01,22,13:32,9.4,6.7,18.1,22349,0.34
2025,01,22,13:42,10.1,6.8,18.0,55905,0.35
2025,01,22,13:52,11.1,6.8,17.9,37173,0.35
2025,01,22,14:02,10.9,6.9,17.9,20475,0.36
2025,01,22,14:12,11.1,6.9,18.1,53226,0.35
2025,01,22,14:22,10.8,7.0,18.1,36831,0.35
2025,01,22,14:32,10.6,7.0,18.1,20527,0.34
2025,01,22,14:42,9.7,7.0,18.2,18940,0.34
2025,01,22,14:52,9.7,7.1,18.0,35638,0.35
2025,01,22,15:02,9.7,7.1,17.9,27211,0.37
2025,01,22,15:12,9.9,7.1,18.1,22220,0.35
2025,01,22,15:22,9.2,7.2,17.9,13869,0.36
2025,01,22,15:32,9.0,7.2,17.9,16032,0.37
2025,01,22,15:42,8.9,7.3,18.0,9251,0.36
2025,01,22,15:52,8.7,7.3,17.8,8278,0.37
2025,01,22,16:02,7.5,7.3,18.0,7102,0.35
2025,01,22,16:12,6.6,7.3,17.9,6506,0.36
2025,01,22,16:22,6.1,7.3,17.9,5566,0.36
2025,01,22,16:32,5.6,7.3,17.8,4637,0.37
2025,01,22,16:42,5.0,7.3,18.0,3564,0.36
2025,01,22,16:52,4.4,7.3,18.0,2462,0.36
2025,01,22,17:02,4.0,7.3,17.9,1348,0.36
2025,01,22,17:12,3.3,7.3,17.9,616,0.37
2025,01,22,17:22,2.9,7.2,17.9,222,0.37
2025,01,22,17:32,2.2,7.2,17.9,48,0.37
2025,01,22,17:42,2.1,7.1,17.9,7,0.37
2025,01,22,17:52,1.6,7.1,17.9,7,0.36
2025,01,22,18:02,1.1,7.1,18.1,0,0.36
2025,01,22,18:12,1.2,7.1,18.1,0,0.36
2025,01,22,18:22,0.8,7.0,18.0,0,0.37
2025,01,22,18:32,0.6,7.0,18.0,0,0.36
2025,01,22,18:42,0.7,7.0,18.0,0,0.36
2025,01,22,18:52,0.4,7.0,18.0,0,0.37
2025,01,22,19:02,0.4,6.9,18.0,0,0.37
2025,01,22,19:12,0.2,6.9,18.0,0,0.37
2025,01,22,19:22,0.2,6.8,17.9,0,0.37
2025,01,22,19:32,-0.1,6.8,17.9,0,0.38
2025,01,22,19:42,0.0,6.8,17.9,0,0.37
2025,01,22,19:52,-0.2,6.7,17.9,0,0.37
2025,01,22,20:02,-0.3,6.7,18.0,0,0.37
2025,01,22,20:12,-0.5,6.6,18.0,0,0.37
2025,01,22,20:22,-0.5,6.6,17.9,0,0.38
2025,01,22,20:32,-0.6,6.6,18.0,0,0.37
2025,01,22,20:42,-0.8,6.5,17.9,0,0.38
2025,01,22,20:52,-1.1,6.5,18.0,0,0.37
2025,01,22,21:02,-1.0,6.5,18.1,0,0.37
2025,01,22,21:12,-1.3,6.5,18.1,0,0.37
2025,01,22,21:22,-1.1,6.4,17.9,0,0.38
2025,01,22,21:32,-1.2,6.4,18.1,0,0.37
2025,01,22,21:42,-1.2,6.3,18.0,0,0.37
2025,01,22,21:52,-1.5,6.3,18.1,0,0.37
2025,01,22,22:02,-1.4,6.3,18.1,0,0.37
2025,01,22,22:12,-1.6,6.3,18.1,0,0.37
2025,01,22,22:22,-1.7,6.2,18.1,0,0.37
2025,01,22,22:32,-1.5,6.2,18.1,0,0.37
2025,01,22,22:42,-1.8,6.1,18.2,0,0.37
2025,01,22,22:52,-1.6,6.1,18.1,0,0.37
2025,01,22,23:02,-2.0,6.1,18.3,0,0.37
2025,01,22,23:12,-2.1,6.1,18.0,0,0.38
2025,01,22,23:22,-2.2,6.0,18.3,0,0.37
2025,01,22,23:32,-2.3,6.0,18.1,0,0.38
2025,01,22,23:42,-2.4,6.0,18.3,0,0.36
2025,01,22,23:52,-2.4,6.0,18.2,0,0.37
2025,01,23,00:02,-2.6,6.0,18.2,0,0.37
2025,01,23,00:12,-2.5,5.9,18.4,0,0.36
2025,01,23,00:22,-2.7,5.9,18.4,0,0.36
2025,01,23,00:32,-2.7,5.8,18.3,0,0.37
2025,01,23,00:42,-2.7,5.8,18.3,0,0.37
2025,01,23,00:52,-2.8,5.8,18.1,0,0.38
2025,01,23,01:02,-3.0,5.8,18.2,0,0.37
2025,01,23,01:12,-2.8,5.8,18.3,0,0.37
2025,01,23,01:22,-3.0,5.7,18.5,0,0.36
2025,01,23,01:32,-2.8,5.7,18.4,0,0.36
2025,01,23,01:42,-2.9,5.7,18.4,0,0.37
2025,01,23,01:52,-2.9,5.6,18.3,0,0.37
2025,01,23,02:02,-2.9,5.6,18.3,0,0.37
2025,01,23,02:12,-2.7,5.6,18.4,0,0.37
2025,01,23,02:22,-2.9,5.6,18.5,0,0.36
2025,01,23,02:32,-3.1,5.6,18.6,0,0.36
2025,01,23,02:42,-3.0,5.5,18.4,0,0.37
2025,01,23,02:52,-2.9,5.5,18.5,0,0.37
2025,01,23,03:02,-2.9,5.5,18.5,0,0.36
2025,01,23,03:12,-2.8,5.5,18.5,0,0.36
2025,01,23,03:22,-2.6,5.5,18.6,0,0.37
2025,01,23,03:32,-2.3,5.5,18.4,0,0.37
2025,01,23,03:42,-2.2,5.4,18.5,0,0.37
2025,01,23,03:52,-2.0,5.4,18.6,0,0.36
2025,01,23,04:02,-1.9,5.4,18.6,0,0.36
2025,01,23,04:12,-1.8,5.4,18.6,0,0.36
2025,01,23,04:22,-1.7,5.3,18.5,0,0.37
2025,01,23,04:32,-1.7,5.3,18.4,0,0.37
2025,01,23,04:42,-1.6,5.3,18.6,0,0.36
2025,01,23,04:52,-1.6,5.3,18.5,0,0.37
2025,01,23,05:02,-1.6,5.3,18.5,0,0.37
2025,01,23,05:12,-1.6,5.3,18.6,0,0.36
2025,01,23,05:22,-1.6,5.3,18.6,0,0.37
2025,01,23,05:32,-1.7,5.3,18.6,0,0.37
2025,01,23,05:42,-1.7,5.3,18.5,0,0.37
2025,01,23,05:52,-1.8,5.3,18.6,0,0.36
2025,01,23,06:02,-1.9,5.2,18.6,0,0.36
2025,01,23,06:12,-2.0,5.3,18.7,0,0.37
2025,01,23,06:22,-2.1,5.3,18.7,7,0.36
2025,01,23,06:32,-2.1,5.2,18.7,7,0.36
2025,01,23,06:42,-2.3,5.2,18.7,18,0.37
2025,01,23,06:52,-2.4,5.2,18.9,114,0.35
2025,01,23,07:02,-2.3,5.2,18.7,344,0.36
2025,01,23,07:12,-2.0,5.1,18.7,875,0.36
2025,01,23,07:22,-2.0,5.1,18.7,1713,0.36
2025,01,23,07:32,-2.0,5.1,18.7,2874,0.36
2025,01,23,07:42,-1.8,5.1,18.8,3711,0.36
2025,01,23,07:52,-1.8,5.1,18.7,4848,0.37
2025,01,23,08:02,-1.7,5.1,18.6,6145,0.37
2025,01,23,08:12,-1.5,5.1,18.7,6963,0.37
2025,01,23,08:22,-1.4,5.1,18.7,7277,0.37
2025,01,23,08:32,-1.1,5.1,18.5,10028,0.38
2025,01,23,08:42,-0.5,5.1,18.7,12574,0.36
2025,01,23,08:52,0.3,5.1,18.6,16359,0.37
2025,01,23,09:02,0.8,5.1,18.7,21136,0.37
2025,01,23,09:12,2.1,5.1,18.6,20503,0.37
2025,01,23,09:22,2.5,5.1,18.5,18046,0.38
2025,01,23,09:32,3.0,5.1,18.5,18579,0.38
2025,01,23,09:42,3.6,5.1,18.6,24362,0.37
2025,01,23,09:52,4.7,5.1,18.7,23985,0.37
2025,01,23,10:02,5.3,5.1,18.6,36789,0.37
2025,01,23,10:12,6.5,5.1,18.7,35771,0.36
2025,01,23,10:22,7.3,5.2,18.5,55714,0.37
2025,01,23,10:32,8.8,5.2,18.6,79235,0.37
2025,01,23,10:42,8.6,5.3,18.6,30397,0.37
2025,01,23,10:52,9.7,5.3,18.5,55923,0.37
2025,01,23,11:02,10.9,5.4,18.6,66030,0.37
2025,01,23,11:12,11.8,5.5,18.6,39882,0.37
2025,01,23,11:22,12.3,5.5,18.6,35462,0.36
2025,01,23,11:32,13.9,5.6,18.6,32049,0.36
2025,01,23,11:42,14.3,5.7,18.6,28362,0.36
2025,01,23,11:52,15.3,5.8,18.5,89924,0.37
2025,01,23,12:02,15.6,5.9,18.5,60502,0.36
2025,01,23,12:12,15.3,6.0,18.7,57720,0.35
2025,01,23,12:22,15.8,6.1,18.6,77335,0.35
2025,01,23,12:32,15.3,6.3,18.5,87947,0.36
2025,01,23,12:42,16.1,6.5,18.6,69861,0.35
2025,01,23,12:52,14.8,6.5,18.6,44326,0.35
2025,01,23,13:02,14.9,6.6,18.4,70814,0.36
2025,01,23,13:12,14.8,6.8,18.4,21830,0.35
2025,01,23,13:22,15.1,6.9,18.4,32942,0.35
2025,01,23,13:32,15.7,7.0,18.4,23918,0.35
2025,01,23,13:42,15.5,7.1,18.6,43774,0.34
2025,01,23,13:52,15.4,7.2,18.4,38931,0.36
2025,01,23,14:02,15.8,7.3,18.4,36574,0.39
2025,01,23,14:12,15.4,7.3,18.3,37617,0.38
2025,01,23,14:22,14.3,7.4,18.5,22018,0.37
2025,01,23,14:32,14.0,7.5,18.3,18740,0.38
2025,01,23,14:42,13.6,7.5,18.3,20272,0.38
2025,01,23,14:52,13.7,7.6,18.4,28070,0.39
2025,01,23,15:02,13.8,7.6,18.3,31577,0.38
2025,01,23,15:12,13.3,7.7,18.3,18168,0.38
2025,01,23,15:22,12.9,7.8,18.3,16744,0.38
2025,01,23,15:32,11.5,7.8,18.3,19432,0.38
2025,01,23,15:42,11.0,7.8,18.2,10195,0.39
2025,01,23,15:52,10.8,7.8,18.2,9333,0.38
2025,01,23,16:02,9.8,7.8,18.2,8358,0.38
2025,01,23,16:12,9.2,7.8,18.2,7148,0.38
2025,01,23,16:22,8.5,7.8,18.2,6071,0.39
2025,01,23,16:32,8.0,7.8,18.2,5255,0.39
2025,01,23,16:42,7.4,7.8,18.2,4184,0.39
2025,01,23,16:52,6.9,7.8,18.1,2902,0.39
2025,01,23,17:02,6.3,7.8,18.2,1727,0.39
2025,01,23,17:12,5.7,7.8,18.2,847,0.39
2025,01,23,17:22,5.5,7.8,18.2,277,0.39
2025,01,23,17:32,4.7,7.8,18.1,55,0.39
2025,01,23,17:42,4.5,7.8,18.1,16,0.39
2025,01,23,17:52,3.9,7.7,18.2,7,0.39
2025,01,23,18:02,3.5,7.6,18.2,0,0.39
2025,01,23,18:12,3.4,7.6,18.0,0,0.40
2025,01,23,18:22,3.3,7.6,18.2,0,0.39
2025,01,23,18:32,2.9,7.6,18.2,0,0.39
2025,01,23,18:42,3.1,7.5,18.2,0,0.40
2025,01,23,18:52,2.9,7.5,18.1,0,0.40
2025,01,23,19:02,2.5,7.5,18.2,0,0.39
2025,01,23,19:12,2.7,7.4,18.1,0,0.40
2025,01,23,19:22,2.7,7.4,18.2,0,0.40
2025,01,23,19:32,2.3,7.3,18.0,0,0.40
2025,01,23,19:42,2.3,7.3,18.1,0,0.40
2025,01,23,19:52,2.2,7.3,18.1,0,0.40
2025,01,23,20:02,1.9,7.3,18.2,0,0.40
2025,01,23,20:12,1.5,7.2,18.2,0,0.40
2025,01,23,20:22,1.4,7.2,18.2,0,0.40
2025,01,23,20:32,1.4,7.1,18.1,0,0.41
2025,01,23,20:42,1.2,7.1,18.2,0,0.40
2025,01,23,20:52,1.0,7.1,18.1,0,0.40
2025,01,23,21:02,1.1,7.0,18.1,0,0.40
2025,01,23,21:12,0.8,7.0,18.1,0,0.41
2025,01,23,21:22,0.6,7.0,18.2,0,0.40
2025,01,23,21:32,0.4,7.0,18.2,0,0.40
2025,01,23,21:42,0.3,6.9,18.1,0,0.40
2025,01,23,21:52,0.2,6.9,18.2,0,0.40
2025,01,23,22:02,0.1,6.8,18.3,0,0.40
2025,01,23,22:12,0.3,6.8,18.1,0,0.41
2025,01,23,22:22,0.2,6.8,18.2,0,0.40
2025,01,23,22:32,0.0,6.8,18.2,0,0.41
2025,01,23,22:42,-0.2,6.7,18.3,0,0.41
2025,01,23,22:52,-0.5,6.7,18.3,0,0.40
2025,01,23,23:02,-0.5,6.6,18.3,0,0.41
2025,01,23,23:12,-0.7,6.6,18.3,0,0.40
2025,01,23,23:22,-0.6,6.6,18.3,0,0.40
2025,01,23,23:32,-0.5,6.5,18.4,0,0.39
2025,01,23,23:42,-0.5,6.5,18.3,0,0.40
2025,01,23,23:52,-0.8,6.5,18.3,0,0.41
2025,01,24,00:02,-0.8,6.5,18.4,0,0.40
2025,01,24,00:12,-1.0,6.5,18.4,0,0.40
2025,01,24,00:22,-1.0,6.4,18.4,0,0.40
2025,01,24,00:32,-1.3,6.4,18.3,0,0.41
2025,01,24,00:42,-1.3,6.3,18.3,0,0.40
2025,01,24,00:52,-1.5,6.3,18.4,0,0.40
2025,01,24,01:02,-1.6,6.3,18.3,0,0.41
2025,01,24,01:12,-1.5,6.3,18.4,0,0.41
2025,01,24,01:22,-1.8,6.2,18.4,0,0.40
2025,01,24,01:32,-1.6,6.2,18.3,0,0.41
2025,01,24,01:42,-1.8,6.2,18.5,0,0.40
2025,01,24,01:52,-1.7,6.1,18.5,0,0.40
2025,01,24,02:02,-1.8,6.1,18.4,0,0.40
2025,01,24,02:12,-1.7,6.1,18.5,0,0.40
2025,01,24,02:22,-1.8,6.1,18.5,0,0.40
2025,01,24,02:32,-1.8,6.0,18.6,0,0.40
2025,01,24,02:42,-1.9,6.0,18.5,0,0.40
2025,01,24,02:52,-2.0,6.0,18.6,0,0.40
2025,01,24,03:02,-2.1,6.0,18.6,0,0.39
2025,01,24,03:12,-2.1,6.0,18.5,0,0.40
2025,01,24,03:22,-2.1,5.9,18.5,0,0.40
2025,01,24,03:32,-2.2,5.9,18.5,0,0.41
2025,01,24,03:42,-2.2,5.9,18.5,0,0.41
2025,01,24,03:52,-2.2,5.8,18.6,0,0.40
2025,01,24,04:02,-2.4,5.8,18.5,0,0.40
2025,01,24,04:12,-2.5,5.8,18.5,0,0.40
2025,01,24,04:22,-2.5,5.8,18.4,0,0.41
2025,01,24,04:32,-2.6,5.8,18.6,0,0.40
2025,01,24,04:42,-2.8,5.7,18.6,0,0.40
2025,01,24,04:52,-2.6,5.7,18.7,0,0.40
2025,01,24,05:02,-2.5,5.6,18.7,0,0.39
2025,01,24,05:12,-2.6,5.6,18.7,0,0.40
2025,01,24,05:22,-2.7,5.6,18.7,0,0.40
2025,01,24,05:32,-2.6,5.6,18.6,0,0.39
2025,01,24,05:42,-2.5,5.6,18.8,0,0.39
2025,01,24,05:52,-2.6,5.6,18.6,0,0.40
2025,01,24,06:02,-2.5,5.6,18.6,0,0.41
2025,01,24,06:12,-2.7,5.5,18.5,0,0.41
2025,01,24,06:22,-2.5,5.5,18.7,7,0.39
2025,01,24,06:32,-2.6,5.5,18.7,7,0.39
2025,01,24,06:42,-2.5,5.5,18.7,18,0.39
2025,01,24,06:52,-2.3,5.5,18.7,112,0.40
2025,01,24,07:02,-2.4,5.5,18.7,344,0.39
2025,01,24,07:12,-2.3,5.5,18.7,921,0.39
2025,01,24,07:22,-2.1,5.4,18.9,1931,0.39
2025,01,24,07:32,-1.9,5.4,18.8,3552,0.39
2025,01,24,07:42,-1.5,5.4,18.8,5081,0.39
2025,01,24,07:52,-1.3,5.4,19.0,6328,0.38
2025,01,24,08:02,-1.0,5.3,18.9,8676,0.39
2025,01,24,08:12,-0.6,5.3,19.0,8460,0.38
2025,01,24,08:22,-0.2,5.3,18.9,9991,0.39
2025,01,24,08:32,0.0,5.3,18.8,11684,0.40
2025,01,24,08:42,0.3,5.3,19.0,8813,0.39
2025,01,24,08:52,0.7,5.3,18.7,14465,0.40
2025,01,24,09:02,1.6,5.3,18.8,22751,0.39
2025,01,24,09:12,1.7,5.3,18.9,14990,0.39
2025,01,24,09:22,2.1,5.3,18.8,12078,0.39
2025,01,24,09:32,2.5,5.3,19.0,16465,0.38
2025,01,24,09:42,3.3,5.3,18.8,25006,0.40
2025,01,24,09:52,4.7,5.3,18.8,25557,0.39
2025,01,24,10:02,5.3,5.4,18.9,29200,0.39
2025,01,24,10:12,5.6,5.4,18.8,28164,0.39
2025,01,24,10:22,6.3,5.4,18.9,42444,0.39
2025,01,24,10:32,7.6,5.5,18.7,35405,0.39
2025,01,24,10:42,8.1,5.5,18.8,42470,0.39
2025,01,24,10:52,8.2,5.5,18.8,56103,0.39
2025,01,24,11:02,9.2,5.6,18.8,35281,0.39
2025,01,24,11:12,10.5,5.6,18.7,32617,0.39
2025,01,24,11:22,11.6,5.7,18.8,25864,0.39
2025,01,24,11:32,12.6,5.8,18.7,27618,0.39
2025,01,24,11:42,13.7,5.8,18.6,19980,0.39
2025,01,24,11:52,14.2,6.0,18.7,78767,0.39
2025,01,24,12:02,15.0,6.0,18.7,41921,0.39
2025,01,24,12:12,15.0,6.1,18.7,62010,0.39
2025,01,24,12:22,15.0,6.3,18.7,81400,0.38
2025,01,24,12:32,15.0,6.4,18.7,59531,0.38
2025,01,24,12:42,15.3,6.5,18.7,63825,0.38
2025,01,24,12:52,15.3,6.6,18.6,73256,0.39
2025,01,24,13:02,15.4,6.8,18.7,85223,0.38
2025,01,24,13:12,15.1,6.9,18.7,27818,0.38
2025,01,24,13:22,15.1,7.0,18.8,46440,0.37
2025,01,24,13:32,14.9,7.1,18.6,21685,0.38
2025,01,24,13:42,14.9,7.2,18.5,35475,0.39
2025,01,24,13:52,15.5,7.3,18.6,50739,0.38
2025,01,24,14:02,14.7,7.3,18.6,43116,0.37
2025,01,24,14:12,15.0,7.5,18.5,53176,0.38
2025,01,24,14:22,14.5,7.5,18.6,43756,0.37
2025,01,24,14:32,13.2,7.6,18.6,26819,0.37
2025,01,24,14:42,13.5,7.6,18.4,31777,0.38
2025,01,24,14:52,13.4,7.7,18.5,35791,0.37
2025,01,24,15:02,13.6,7.8,18.5,29809,0.38
2025,01,24,15:12,12.9,7.8,18.5,24806,0.38
2025,01,24,15:22,12.2,7.8,18.4,16631,0.38
2025,01,24,15:32,12.3,7.9,18.4,18424,0.38
2025,01,24,15:42,11.5,7.9,18.5,9521,0.38
2025,01,24,15:52,10.9,8.0,18.4,8970,0.38
2025,01,24,16:02,10.6,8.0,18.3,6743,0.39
2025,01,24,16:12,10.0,8.0,18.5,4578,0.38
2025,01,24,16:22,8.8,8.0,18.4,3953,0.38
